gen,id,probability_maraud,position,successful_mating
0,0,0.05,0,4
0,1,0.05,300,5
0,2,0.05,600,15
0,3,0.05,900,7
0,4,0.05,1200,10
0,5,0.05,1500,13
1,0,0.02178265213684802,0,11
1,1,0.03496176174691141,300,7
1,2,0.05,600,3
1,3,0.06611476325161814,900,5
1,4,0.05,1200,14
1,5,0.05,1500,14
2,0,0.02178265213684802,0,9
2,1,0.03474003300148357,300,11
2,2,0.05808557261751878,600,10
2,3,0.06583745285440269,900,10
2,4,0.05,1200,8
2,5,0.05,1500,6
3,0,0.02178265213684802,0,9
3,1,0.03474003300148357,300,11
3,2,0.05808557261751878,600,4
3,3,0.06583745285440269,900,9
3,4,0.03341692499955142,1200,7
3,5,0.033997491733155395,1500,14
4,0,0.02178265213684802,0,15
4,1,0.03474003300148357,300,10
4,2,0.040946746154690836,600,7
4,3,0.06583745285440269,900,8
4,4,0.03138301734339964,1200,7
4,5,0.033997491733155395,1500,7
5,0,0.02178265213684802,0,12
5,1,0.03474003300148357,300,9
5,2,0.03749994541412842,600,11
5,3,0.059353834337125426,900,3
5,4,0.02977624880875982,1200,12
5,5,0.049945482052754765,1500,7
6,0,0.02178265213684802,0,8
6,1,0.03474003300148357,300,7
6,2,0.03749994541412842,600,6
6,3,0.14310438419966584,900,17
6,4,0.02977624880875982,1200,5
6,5,0.03591870183428029,1500,11
7,0,0.021492428901437217,0,5
7,1,0.028201949412091774,300,8
7,2,0.057454428451407774,600,7
7,3,0.14310438419966584,900,15
7,4,0.043695181460711566,1200,7
7,5,0.03591870183428029,1500,12
8,0,0.0128311829452498,0,13
8,1,0.02553768118941396,300,11
8,2,0.061611163957718956,600,5
8,3,0.14310438419966584,900,8
8,4,0.04280580758650078,1200,8
8,5,0.03591870183428029,1500,9
9,0,0.0128311829452498,0,14
9,1,0.02553768118941396,300,12
9,2,0.1075470897046899,600,7
9,3,0.1261596842321425,900,8
9,4,0.03232604750124701,1200,5
9,5,0.03591870183428029,1500,8
